id,i,name_tokens,ingredient_tokens,steps_tokens,techniques,calorie_level,ingredient_ids
270,50569,"[40480, 30902, 27838, 8780, 40481]","[[24, 969], [7304, 7524], [15341, 7898], [3137, 32669, 9414], [8828, 16361], [796, 964], [6444]]","[40480, 40482, 23667, 24, 969, 488, 7304, 7524, 500, 246, 1719, 19351, 10906, 40478, 40482, 3162, 2400, 15341, 21298, 240, 32669, 9414, 240, 8828, 16361, 488, 796, 964, 500, 246, 2399, 498, 6821, 4850, 40478, 40482, 4846, 485, 27838, 9019, 40478, 40482, 2030, 485, 246, 14057, 40478, 40482, 2454, 240, 18115, 2525, 240, 488, 32093, 562, 11421, 1571, 485, 277, 2088, 522, 1073, 24, 969, 640, 4941, 40478, 40482, 9933, 24, 969, 240, 488, 29649, 16361, 2165, 40478, 40482, 24440, 24, 969, 522, 4086, 500, 2044, 37453, 1073, 3866, 40478, 40482, 2294, 27838, 673, 944, 485, 19351, 10906, 240, 488, 4846, 6444, 40478, 40482, 5539, 240, 14917, 240, 715, 11868, 2525, 562, 6828, 485, 11083, 1571, 522, 1073, 9019, 6524, 1834, 240, 9822, 10450, 40478, 40482, 6018, 617, 2525, 240, 488, 1503, 8240, 1845, 27838, 9019, 666, 1845, 11287, 13135, 17192, 240, 1970, 277, 278, 282, 260, 3652, 2966, 2288, 40478, 40482, 6947, 7932, 30655, 40478, 40482, 2454, 491, 1098, 556, 2817, 12917, 240, 488, 6803, 504, 8677, 40478, 40482, 4086, 500, 11468, 1353, 6133, 562, 284, 1571, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,"[5280, 159, 1527, 2810, 68, 1563, 6906]"
271,103878,"[40480, 13249, 1039, 1186, 16212, 25808, 40481]","[[16212, 25808], [13249, 7524], [6953], [20994, 8361], [6444], [8780]]","[40480, 40482, 23667, 13249, 7524, 240, 20994, 8361, 240, 6953, 488, 6444, 40478, 40482, 4233, 9019, 715, 481, 25808, 488, 851, 1229, 562, 280, 1808, 485, 13829, 481, 29433, 40478, 40482, 2525, 481, 8780, 500, 246, 19527, 6847, 240, 5539, 1073, 3746, 2507, 504, 1109, 2000, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[4114, 4253, 6270, 2022, 6906, 840]"
272,103901,"[40480, 13249, 13331, 16212, 25808, 40481]","[[16212, 25808], [8780], [21453], [13249], [13249, 7524], [6444], [13331]]","[40480, 40482, 13444, 25808, 1073, 4941, 40478, 40482, 1000, 25808, 640, 1236, 481, 13444, 240, 6672, 481, 10734, 271, 40478, 40482, 9423, 8780, 500, 6847, 40478, 40482, 4846, 19657, 17163, 21453, 240, 4835, 836, 1073, 4941, 40478, 40482, 4846, 13249, 17, 686, 240, 13249, 7524, 240, 6444, 488, 13331, 240, 2525, 2327, 40478, 40482, 9082, 715, 1845, 25808, 40478, 40482, 12517, 240, 32672, 32672, 26354, 240, 860, 4683, 16, 249, 240, 783, 25436, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[4114, 840, 5010, 4231, 4253, 6906, 4746]"
273,105366,"[40480, 4423, 27838, 8780, 40481]","[[24, 969], [6444], [11182], [1353]]","[40480, 40482, 15258, 240, 6742, 488, 5820, 481, 24, 969, 40478, 40482, 16172, 500, 277, 278, 280, 260, 3652, 3585, 40478, 40482, 1072, 589, 481, 16126, 500, 246, 1719, 2262, 5082, 40478, 40482, 2030, 485, 246, 14057, 40478, 40482, 18115, 481, 2525, 488, 5539, 240, 9822, 2528, 240, 562, 7648, 1571, 240, 522, 1073, 481, 24, 969, 640, 2022, 40478, 40482, 673, 944, 481, 9019, 500, 246, 2044, 37453, 522, 37588, 40478, 40482, 2294, 481, 673, 944, 485, 481, 5082, 40478, 40482, 5539, 14917, 715, 963, 954, 2525, 240, 9822, 2528, 240, 562, 277, 485, 277, 260, 277, 278, 280, 1808, 240, 522, 1073, 481, 27838, 8780, 544, 963, 2377, 40478, 40482, 580, 3140, 595, 485, 851, 507, 25343, 40478, 40482, 6018, 617, 481, 2525, 40478, 40482, 9467, 481, 1845, 27838, 8780, 562, 246, 2176, 522, 867, 485, 4390, 725, 2525, 40478, 40482, 9082, 666, 2698, 1845, 17192, 240, 1970, 277, 278, 282, 3652, 498, 2288, 491, 481, 1495, 498, 1183, 7932, 40478, 40482, 6947, 481, 9861, 498, 1183, 7932, 40478, 40482, 2454, 488, 3383, 485, 848, 485, 844, 7858, 40478, 40482, 12446, 481, 17192, 488, 8658, 746, 562, 609, 485, 1203, 2372, 40478, 40481]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[5280, 6906, 710, 7655]"
274,44417,"[40480, 19789, 4537, 500, 6821, 22102, 40481]","[[17918], [25845, 8111, 11332], [8780], [6821], [8441], [559, 1164, 14516], [11434], [14721, 17, 686], [14721, 7524]]","[40480, 40482, 4086, 17918, 240, 11332, 488, 8780, 1073, 9126, 40478, 40482, 4846, 6821, 240, 4086, 1073, 9019, 5526, 246, 2215, 40478, 40482, 3916, 1634, 17532, 504, 246, 4309, 1874, 7086, 3334, 1073, 3866, 40478, 40482, 2454, 488, 8658, 746, 6828, 1571, 40478, 40482, 3612, 22102, 1210, 5458, 498, 10369, 559, 5468, 2405, 1073, 280, 4397, 2377, 40478, 40482, 1892, 666, 282, 30378, 9410, 240, 1495, 1183, 556, 246, 35148, 40478, 40482, 6748, 22102, 485, 496, 1343, 19789, 4537, 2055, 240, 3612, 666, 4537, 40478, 40482, 4233, 1495, 556, 8441, 240, 35009, 556, 14516, 240, 1082, 670, 281, 30378, 2951, 504, 35050, 10906, 16505, 40478, 40482, 2454, 488, 8658, 746, 6828, 1571, 40478, 40482, 19007, 500, 246, 29121, 1845, 10906, 670, 7648, 1571, 522, 1073, 4309, 903, 2324, 40478, 40482, 2548, 781, 6255, 40478, 40482, 19789, 4537, 271, 260, 23667, 589, 16126, 500, 246, 5024, 40478, 40482, 7087, 862, 40478, 40482, 3612, 3093, 1901, 23028, 498, 9019, 666, 4537, 40478, 40482, 512, 759, 925, 1203, 1808, 2339, 498, 720, 488, 9649, 4537, 9233, 862, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[2683, 1119, 840, 1170, 2499, 6416, 422, 4390, 4384]"
277,98493,"[40480, 482, 8730, 831, 21375, 9319, 6821, 40481]","[[27, 12870, 249, 6821], [482, 8730], [10444, 6020], [3137, 734, 5612], [3137, 20930, 510], [11332], [3605, 246, 5339]]","[40480, 40482, 1892, 6821, 2975, 477, 2903, 666, 1667, 277, 278, 280, 260, 3652, 2377, 3585, 40478, 40482, 9154, 500, 2433, 8556, 500, 7754, 5465, 40478, 40482, 7087, 482, 8730, 240, 10444, 6020, 240, 734, 5612, 240, 20930, 510, 488, 11332, 500, 1220, 5024, 40478, 40482, 8240, 715, 6821, 40478, 40482, 831, 25838, 491, 1423, 282, 1808, 488, 609, 485, 292, 1808, 240, 1927, 1098, 40478, 40482, 729, 2525, 903, 6697, 40478, 40482, 6018, 6821, 617, 831, 478, 4481, 40478, 40482, 10553, 485, 282, 1220, 903, 6697, 5468, 5909, 500, 7443, 40478, 40482, 20761, 280, 1901, 23028, 831, 478, 4481, 715, 1183, 2399, 498, 6821, 40478, 40482, 903, 1107, 1073, 6821, 544, 2022, 488, 668, 6033, 485, 9423, 240, 670, 282, 1571, 40478, 40482, 4103, 556, 5339, 40478, 40482, 4103, 556, 10767, 18998, 3605, 246, 5339, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[4040, 5125, 5006, 2856, 2909, 5319, 5469]"
278,93054,"[40480, 9319, 34058, 35135, 40481]","[[4787, 34058], [6812], [21453], [4914, 6821], [11332], [629, 2338, 6821], [8780], [14581, 26, 2410, 22102]]","[40480, 40482, 485, 1892, 27708, 240, 512, 759, 1529, 8780, 260, 26327, 6913, 7933, 500, 1082, 498, 481, 8780, 40478, 40482, 5539, 34058, 5175, 485, 6054, 40478, 40482, 9933, 862, 40478, 40482, 7087, 34058, 240, 6812, 240, 21453, 240, 4914, 6821, 240, 11332, 488, 629, 2338, 6821, 1281, 40478, 40482, 8658, 746, 9019, 491, 1423, 277, 2088, 40478, 40482, 1189, 7720, 498, 14581, 26, 2410, 22102, 40478, 40482, 1892, 246, 6278, 280, 244, 2144, 240, 5161, 822, 589, 10362, 40478, 40482, 2454, 5040, 17532, 556, 246, 5393, 4850, 485, 7154, 9268, 40478, 40482, 6143, 17532, 620, 525, 512, 604, 280, 5458, 562, 1183, 15524, 40478, 40482, 4233, 481, 17532, 556, 6737, 8780, 40478, 40482, 1072, 277, 6894, 1901, 9082, 498, 34058, 9019, 491, 481, 1495, 498, 481, 6278, 40478, 40482, 6748, 22102, 715, 649, 7597, 246, 9855, 40478, 40482, 1082, 504, 862, 260, 28742, 15473, 5070, 40478, 40482, 4233, 1495, 556, 8780, 40478, 40482, 19007, 491, 43, 22328, 9378, 37473, 1511, 982, 507, 562, 7379, 1571, 40478, 40482, 4103, 2107, 40478, 40482, 485, 9233, 481, 35135, 781, 6913, 240, 8780, 1109, 2000, 498, 15524, 488, 5507, 862, 40478, 40482, 19007, 669, 1388, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[3087, 2499, 5010, 1910, 5319, 2591, 840, 5358]"
279,59403,"[40480, 4851, 831, 20040, 5409, 40481]","[[8780], [6444], [8441, 23748, 742], [4851, 831, 20040], [17918], [15473, 10166], [15473, 8361], [9514, 4914], [4564, 17, 686], [837, 7327], [8441, 15953], [4564, 7524]]","[40480, 40482, 4914, 6444, 488, 8780, 40478, 40482, 4846, 8441, 23748, 742, 488, 277, 1901, 9082, 4851, 831, 20040, 40478, 40482, 3423, 485, 2523, 40478, 40482, 29913, 17918, 240, 15473, 10166, 488, 15473, 8361, 40478, 40482, 4846, 17918, 485, 9019, 556, 9514, 4914, 240, 2827, 488, 3192, 556, 2832, 16126, 40478, 40482, 4846, 4564, 17, 686, 240, 837, 7327, 488, 6062, 7904, 8441, 15953, 40478, 40482, 8780, 488, 17918, 531, 5560, 2044, 5409, 6847, 40478, 40482, 19007, 491, 43, 8393, 9378, 562, 20218, 1571, 40478, 40482, 9082, 31757, 715, 12187, 5409, 1000, 843, 500, 1845, 6847, 40478, 40482, 2548, 488, 22848, 241, 1557, 6255, 3505, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[840, 6906, 2512, 3344, 2683, 335, 332, 6654, 5068, 7642, 2509, 5058]"
280,96593,"[40480, 8878, 13995, 29053, 1525, 31894, 246, 1531, 5, 10844, 10841, 40481]","[[10444, 6020], [10837], [21453], [17195, 6953], [6812]]","[40480, 40482, 2525, 481, 6020, 500, 246, 292, 260, 291, 3652, 28058, 40478, 40482, 4846, 481, 15786, 498, 13995, 566, 491, 246, 720, 485, 3922, 6883, 1281, 40478, 40482, 17143, 10362, 498, 10837, 556, 10362, 498, 19414, 40478, 40482, 5539, 1547, 715, 11868, 2525, 240, 1927, 481, 10837, 1073, 4941, 240, 595, 2507, 40478, 40482, 9933, 10837, 500, 246, 588, 14185, 240, 2642, 6020, 40478, 40482, 925, 881, 28058, 544, 963, 2698, 562, 1428, 1529, 40478, 40482, 500, 246, 5024, 240, 2523, 6812, 556, 246, 7158, 1073, 2314, 738, 4460, 40478, 40482, 6953, 485, 3301, 40478, 40482, 4846, 481, 10837, 240, 3336, 714, 485, 2454, 10837, 2055, 556, 8441, 40478, 40482, 2294, 485, 28058, 240, 2525, 280, 13020, 23028, 498, 3953, 6020, 1073, 7273, 1579, 40478, 40482, 4846, 481, 9019, 240, 2933, 507, 551, 40478, 40482, 5898, 240, 2583, 481, 7858, 485, 11868, 260, 1583, 40478, 40482, 3033, 481, 6847, 2528, 485, 3922, 6883, 40478, 40482, 669, 481, 2695, 544, 2507, 240, 2454, 481, 28058, 556, 246, 3505, 240, 1300, 28058, 609, 260, 737, 714, 240, 6018, 1525, 31894, 240, 4536, 811, 3505, 556, 563, 9649, 737, 714, 666, 28058, 488, 5539, 481, 728, 737, 240, 1300, 1793, 1323, 1073, 9649, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[5006, 5648, 5010, 1573, 2499]"
281,83410,"[40480, 4413, 36672, 7056, 40481]","[[8441, 15953], [6444], [15000], [29751, 17729], [8467, 1179], [11951, 4914], [7732, 5317]]","[40480, 40482, 2523, 8441, 15953, 1073, 6062, 568, 595, 2832, 40478, 40482, 8297, 4846, 6444, 40478, 40482, 4846, 15000, 240, 2400, 17729, 488, 8467, 1179, 40478, 40482, 19007, 500, 246, 5895, 260, 3652, 28742, 7056, 6847, 562, 6828, 1571, 491, 20876, 9378, 37473, 1511, 982, 507, 40478, 40482, 2548, 40478, 40482, 1495, 556, 2654, 5581, 6198, 4914, 40478, 40482, 1325, 15405, 556, 11559, 5317, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,"[2509, 6906, 7449, 6097, 5298, 7705, 3239]"
282,33740,"[40480, 28020, 21758, 5867, 8294, 40481]","[[31801, 918, 15509, 5867, 5355, 21940], [21758, 5940], [564, 2616, 8361], [2056, 19414], [949, 1910, 245, 955, 2763], [14524, 38037], [16178, 3614], [14721]]","[40480, 40482, 2030, 277, 3026, 21758, 5940, 485, 14057, 40478, 40482, 4846, 5867, 240, 13249, 3614, 240, 488, 564, 2616, 40478, 40482, 2454, 488, 32093, 14690, 5867, 544, 4941, 40478, 40482, 4846, 5040, 277, 3026, 21758, 5940, 240, 2056, 19414, 488, 955, 8772, 40478, 40482, 587, 595, 14057, 40478, 40482, 9467, 500, 14721, 7524, 488, 3316, 10734, 668, 781, 6255, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[1254, 1607, 4141, 6335, 6405, 4892, 4298, 4379]"
283,103676,"[40480, 6953, 33266, 38265, 732, 40481]","[[6953, 33266, 3316], [4739, 6953, 12395], [21453], [5598, 10837], [5598, 13179], [11468, 1353], [6953], [11332], [19781, 8289, 747, 21, 851], [5940]]","[40480, 40482, 29298, 6953, 33266, 702, 11046, 507, 10308, 500, 1705, 1353, 485, 2454, 40478, 40482, 9933, 240, 1082, 500, 246, 39059, 5082, 240, 488, 2454, 556, 3137, 1353, 40478, 40482, 2030, 485, 32093, 556, 954, 2525, 40478, 40482, 2457, 485, 788, 645, 481, 3316, 544, 843, 834, 13548, 260, 645, 620, 240, 9933, 240, 4846, 3137, 1705, 1353, 240, 488, 2030, 485, 32093, 833, 240, 488, 9933, 40478, 40482, 14046, 6953, 12395, 500, 39059, 5082, 1073, 9238, 40478, 40482, 6018, 10994, 12395, 16658, 488, 13884, 562, 1325, 15405, 40478, 40482, 5539, 21453, 500, 12395, 4739, 1073, 4941, 40478, 40482, 4846, 10837, 240, 21570, 240, 1353, 240, 6953, 240, 488, 11332, 488, 5539, 1809, 562, 670, 1286, 1571, 240, 522, 1073, 11488, 640, 4941, 40478, 40482, 4846, 8289, 522, 548, 878, 253, 240, 6720, 5940, 240, 488, 9432, 914, 6953, 33266, 40478, 40482, 2030, 38265, 732, 485, 246, 20726, 7858, 240, 568, 587, 595, 14057, 40478, 40482, 1325, 15405, 556, 481, 12395, 16658, 40478, 40482, 4103, 1845, 240, 556, 10767, 12187, 1163, 885, 5339, 522, 5825, 488, 8780, 40478, 40481]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,"[6277, 2578, 5010, 5887, 5876, 673, 6270, 5319, 985, 4717]"
287,96572,"[40480, 21675, 832, 7696, 33100, 16201, 8294, 40481]","[[6167, 1301, 11007], [17869, 6020], [19414], [12038, 12204, 951, 505, 2911, 246], [15022], [827, 6591], [1353], [6953], [11332], [4933, 10448], [978, 3204, 26285], [1845, 10734]]","[40480, 40482, 2042, 488, 5122, 11007, 40478, 40482, 1082, 500, 246, 1719, 19351, 10906, 40478, 40482, 2454, 556, 1353, 485, 280, 4550, 1952, 11007, 240, 488, 2030, 485, 246, 14057, 40478, 40482, 5539, 280, 1571, 40478, 40482, 6018, 617, 2525, 40478, 40482, 2454, 488, 851, 1229, 277, 2088, 40478, 40482, 9933, 11007, 40478, 40482, 1233, 2913, 40478, 40482, 6947, 6847, 556, 246, 2405, 4886, 40478, 40482, 2525, 6020, 500, 6847, 715, 11868, 2525, 40478, 40482, 4846, 21453, 240, 951, 505, 2911, 246, 240, 488, 15022, 40478, 40482, 4835, 836, 5895, 1571, 522, 1073, 21453, 544, 4941, 40478, 40482, 4846, 827, 6591, 240, 488, 4835, 836, 277, 2176, 40478, 40482, 2294, 11007, 485, 6847, 40478, 40482, 4846, 1353, 488, 1115, 281, 16126, 40478, 40482, 2030, 485, 246, 14057, 40478, 40482, 2454, 240, 18115, 2525, 240, 488, 32093, 277, 2088, 488, 5895, 1571, 522, 1073, 11007, 640, 4941, 40478, 40482, 6018, 4933, 10448, 40478, 40482, 9467, 500, 26285, 488, 1845, 10734, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[2218, 7557, 5010, 7325, 3184, 2007, 7655, 6270, 5319, 393, 6009, 3810]"
288,100786,"[40480, 28020, 21758, 39512, 40481]","[[21758, 5940], [6812], [3467, 6444], [6953]]","[40480, 40482, 2523, 21758, 5940, 240, 6812, 240, 3467, 6444, 488, 6953, 1281, 40478, 40482, 5539, 500, 246, 3905, 26311, 240, 9822, 6536, 240, 1073, 507, 32630, 2022, 6598, 6812, 40478, 40482, 8240, 666, 246, 1220, 26855, 5465, 40478, 40482, 19007, 491, 43, 8393, 9378, 37473, 1511, 982, 507, 562, 6828, 1571, 40478, 40482, 2507, 1236, 246, 903, 6697, 40478, 40481]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[1607, 2499, 5143, 6270]"
289,74642,"[40480, 21675, 832, 7696, 33100, 16201, 8294, 7735, 40481]","[[1301, 11007], [1353], [3947], [12395, 40118], [1845, 8300, 17027], [8765, 19811], [21453], [978, 11332, 14071], [15022, 796, 964], [4564, 36, 965]]","[40480, 40482, 15207, 1301, 11007, 10308, 40478, 40482, 9933, 40478, 40482, 729, 2525, 10906, 485, 43, 8393, 9378, 37473, 1511, 982, 507, 40478, 40482, 23667, 1301, 11007, 240, 1353, 240, 3947, 240, 12395, 40118, 240, 8300, 17027, 240, 8765, 19811, 240, 21453, 240, 978, 11332, 14071, 240, 15022, 240, 488, 4564, 36, 965, 500, 246, 19351, 10906, 40478, 40482, 2030, 485, 14057, 240, 14917, 240, 504, 8824, 1495, 40478, 40482, 2454, 488, 10553, 485, 10906, 40478, 40482, 19007, 18711, 1571, 40478, 40482, 6018, 2454, 488, 19007, 1007, 6828, 1571, 40478, 40482, 2548, 10308, 500, 9188, 40478, 40482, 6018, 4739, 488, 492, 2525, 40478, 40481]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[553, 7655, 3597, 5590, 6324, 1223, 5010, 5975, 3203, 5090]"
290,105558,"[40480, 16201, 1039, 248, 556, 32043, 40481]","[[9230, 789, 607], [17869, 6382], [2832, 13326], [37754, 10734], [559, 1164, 6020], [5703, 2825], [17869, 6020], [32669, 9414], [15022, 796, 964], [32043], [6953], [11868, 3677, 571, 15534]]","[40480, 40482, 1072, 9230, 789, 607, 666, 246, 3026, 488, 1547, 4846, 277, 278, 282, 3026, 498, 481, 17869, 6382, 488, 7087, 862, 40478, 40482, 4846, 3204, 240, 37754, 10734, 488, 559, 1164, 6020, 40478, 40482, 7087, 862, 40478, 40482, 1892, 5703, 2825, 666, 277, 277, 278, 280, 260, 3652, 16003, 40478, 40482, 2525, 17869, 6020, 500, 246, 13, 773, 715, 11868, 2525, 40478, 40482, 669, 1845, 240, 1072, 500, 10848, 488, 15022, 40478, 40482, 9467, 14046, 562, 5895, 2460, 40478, 40482, 1072, 500, 5703, 2825, 488, 32043, 40478, 40482, 14046, 562, 277, 2176, 40478, 40482, 4846, 277, 278, 280, 3026, 17869, 6382, 488, 481, 6953, 40478, 40482, 2030, 485, 246, 32093, 40478, 40482, 2454, 488, 5539, 715, 246, 11868, 2525, 562, 246, 2176, 240, 1073, 32043, 544, 4941, 260, 9238, 40478, 40482, 6018, 32043, 556, 246, 40155, 9082, 40478, 40482, 1300, 2525, 485, 954, 488, 4846, 571, 15534, 40478, 40482, 851, 507, 2525, 822, 40478, 40482, 4846, 9230, 789, 607, 9019, 40478, 40482, 9467, 963, 2327, 40478, 40482, 1072, 32043, 651, 500, 13, 773, 40478, 40482, 4103, 557, 1443, 557, 481, 10734, 544, 2377, 488, 1180, 544, 6720, 822, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[1833, 7562, 2451, 6696, 6413, 6335, 7557, 3269, 3203, 756, 6270, 4654]"
291,21391,"[40480, 790, 519, 6330, 488, 10837, 40481]","[[6020], [827, 6591, 10107], [3137, 10848], [790, 519, 6330], [10837], [1325, 1048, 567, 37530], [6167, 978, 22942], [6953]]","[40480, 40482, 1072, 6020, 240, 827, 6591, 10107, 488, 10848, 500, 246, 1719, 19527, 6847, 488, 5539, 715, 11868, 2525, 281, 485, 284, 1571, 40478, 40482, 4846, 790, 519, 6330, 488, 10837, 40478, 40482, 4846, 803, 1325, 1048, 567, 37530, 488, 978, 28062, 488, 7087, 40478, 40482, 5539, 715, 11868, 2525, 288, 485, 5895, 1571, 40478, 40482, 2454, 488, 18115, 2525, 485, 954, 40478, 40482, 481, 7570, 994, 5539, 481, 11488, 40478, 40482, 645, 507, 2491, 834, 2832, 240, 4846, 246, 909, 1353, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[4987, 2010, 2809, 1112, 5648, 3177, 2342, 6270]"
